y,x,I0,bg,y_err,x_err,I0_err,bg_err,H_det,error_flag,snr,rmse,n_iter,y_detect,x_detect,frame,loc_idx,trajectory,subproblem_n_traj,subproblem_n_locs
18.391762138818166,28.96098725575419,133.88699619036245,2.1513389031359713,0.19822763220887327,0.1981800193746693,15.316910301598966,0.316675083523685,0.02352400096405655,0.0,203.4802891737803,2.2940813321202898,10.0,18.0,29.0,0,0,1,0,1
23.904372368801013,35.52078932333972,149.129256799759,2.019458343771557,0.15374510135561048,0.15380167326936792,13.212328893755155,0.27262405763074643,0.004692333191340481,0.0,291.87560942023686,1.9733471748971636,10.0,24.0,36.0,0,1,2,0,1
34.53871504286069,93.9073530587482,90.60320066006412,3.255484917780686,0.2657997819682728,0.2656700017394385,13.852350196750196,0.28599509145516633,0.05067223411809168,0.0,58.700040692439,2.0711781128966944,10.0,34.0,94.0,0,2,8,0,1
38.10607477534939,124.01940826904072,2620.877257775608,-25.43711696041953,0.18824109254752389,0.18823819571320438,94.66315073060075,4.962527412394204,261.9544179166046,1.0,35886.37610888446,43.47688458360147,10.0,38.0,124.0,0,3,0,0,1
63.88919864743363,89.84148039336455,62.159930489137146,3.8351298894399513,0.2937068071279367,0.29371234124029383,10.614255742568739,0.21856817662520348,0.02581558091970372,0.0,45.0031030858547,1.5792804873934485,10.0,64.0,90.0,0,4,13,0,1
76.38099330172001,36.214428028468866,94.69547684161954,2.983957067933235,0.209847392781982,0.20981503290650771,11.457566448879161,0.23607960657225638,0.009156647178907153,0.0,77.08278869196667,1.707199509467973,10.0,76.0,36.0,0,5,18,0,1
93.81680127827282,52.57483749946953,75.06251110442189,3.59678852301881,0.33763146714973996,0.3377186968597073,14.637878343344179,0.30243414789384415,0.16502513996658272,0.0,26.93861461068112,2.1905291267559104,10.0,94.0,53.0,0,6,3,0,1
96.44929883803383,99.0995380447342,134.10259254911145,2.2847245835746244,0.16146849805945493,0.1614177615091486,12.495582601663125,0.25767799581888545,0.004551584846581497,0.0,155.60111471164393,1.8643844512478782,10.0,96.0,99.0,0,7,5,0,1
99.06884244452422,50.711442510512676,93.5272900224809,3.3776786420009985,0.25143600948430583,0.2514630507084583,13.580679615147922,0.2803118182238246,0.03744938391422483,0.0,51.5585403768327,2.0283604630392174,10.0,99.0,51.0,0,8,4,0,1
108.81804606599718,90.9135914167407,55.338642349207625,3.1220735522885903,0.3652493856158825,0.36523320398150794,11.763266921785515,0.24243213831936003,0.09337827901444816,0.0,26.409157005713247,1.752587830930353,10.0,109.0,91.0,0,9,6,0,1
104.28077182246342,49.324798462210325,98.09694240831051,2.552276390433315,0.20263068729519,0.20263906470924192,11.453042920630732,0.23598560020062215,0.007951044679677359,0.0,122.93528786585894,1.7065199552262922,10.0,104.0,49.0,1,10,21,2,2
99.39341646303062,98.30076142079632,51.04910288297184,2.8358743063774745,0.37352037477889094,0.373481084264281,11.12468961188908,0.22916571496381305,0.08167186853645095,0.0,26.93348585311634,1.6573573111295548,10.0,99.0,98.0,1,11,10,2,1
91.17775415299474,57.47990370460742,110.27903063451636,2.7587997695904876,0.15437318382933535,0.1544244899821035,9.866089599196554,0.20306389356062604,0.0014714982514330234,0.0,164.17258893798422,1.4679042505939368,10.0,91.0,57.0,1,12,9,2,2
76.69700177219333,35.901873048543486,91.85280998622483,2.7594610443593455,0.22533679266705575,0.22530928672073172,11.985885921348471,0.24706392892984536,0.014591512595223323,0.0,67.09294602289798,1.786549199694966,10.0,77.0,36.0,1,13,18,1,1
